	title	content	category	created_date
37	Названы самые подорожавшие и самые подешевевшие футболисты мира	Портал Transfermarkt назвал самых подорожавших и самых подешевевших футболистов после весеннего обновления стоимости в 2024 году. Рейтинги доступны в Telegram-канале ресурса.Больше всех в стоимости прибавил 18-летний полузащитник «Манчестер Юнайтед» Кобби Майну. Он стал дороже на 29 миллионов евро и теперь стоит 35 миллионов. Второе место в рейтинге занял 17-летний защитник «Барселоны» Пау Кубарси (25 миллионов вместо 1,5). Тройку замкнул 19-летний хавбек «Баварии» Александар Павлович (25 миллионов вместо 2).Самым подешевевшим футболистом стал защитник «Баварии» Йозуа Киммих, который потерял в стоимости 15 миллионов и теперь стоит 60. За ним расположились 19 игроков, которые потеряли по 10 миллионов евро.Первое место в списке самых дорогих футболистов делят форварды Эрлинг Холланд, Джуд Беллингем и Килиан Мбаппе. Их стоимость оценивается в 180 миллионов евро.	Спорт	00:24, 2 апреля 2024
38	На Украине рассказали о способных сносить жилые многоэтажки российских бомбах	Спикер Воздушных сил Вооруженных сил Украины (ВСУ) Илья Евлаш рассказал о наличии у российских войск бомб, которые весят 1500 килограмм и могут полностью уничтожать жилые многоэтажные здания. Об этом сообщает Telegram-канал «Политика Страны».«Основной задачей Сил обороны, по его словам, является борьба с носителями таких бомб — истребителями Су-34 и Су-35», — говорится в публикации. Кроме того, как утверждает Евлаш, ВСУ тяжело поражать российские самолеты, поскольку у них нет необходимого количества современных западных систем противовоздушной обороны (ПВО). Он добавил, что Россия применяет подобные бомбы с целью истощить ПВО Украины.Ранее обозреватели журнала Forbes сообщили, что российские планирующие корректируемые авиабомбы (КАБ) крайне эффективно уничтожают оборону ВСУ, а силы ПВО не в состоянии предотвратить их применение, как и уничтожение линий обороны украинских войск.	Бывший СССР	00:30, 2 апреля 2024
39	Мужчина уговорил жену на секс втроем и удивился ее выбору партнера	Пользователь сети уговорил жену на секс втроем и был шокирован, когда узнал, кого она выбрала в качестве партнера. Об этом сообщает Daily Star.По словам мужчины, он долгое время предлагал возлюбленной заняться сексом втроем. После многочисленных уговоров женщина согласилась. Мужчина позволил жене пригласить в их постель любого человека, которого она пожелает. По словам пользователя, он предполагал, что женщина предложит заняться сексом втроем одной из ее коллег.Однако он был удивлен, когда в день встречи в дверь дома позвонил их садовник по имени Пит. «Пришлось довести дело до конца. Он отлично справляется с живой изгородью, и я не мог рисковать его потерять», — говорит мужчина.Пост в социальной сети стал вирусным и собрал более 477 тысяч просмотров. Многие пользователи не упустили возможность пошутить над произошедшим. «Хуже всего было бы, если бы Пит просто постучал в дверь, чтобы сообщить, что нужно починить газонокосилку, и был втянут в секс втроем», — пишет один комментатор. Некоторые также предположили, что женщина уже занималась сексом с садовником за спиной у мужа и потому выбрала его в качестве партнера.Ранее сообщалось, что порномодель с OnlyFans нашла партнера для секса втроем с мужем онлайн. Претендентов она просила присылать фотографию и уточнять доступные даты.	Из жизни	00:30, 2 апреля 2024
40	Патрушев рассказал о подготовке диверсантов НАТО для операций против России	Инструкторы НАТО готовят диверсантов для участия в операциях против России. Об этом в интервью aif.ru заявил секретарь Совета безопасности РФ Николай Патрушев.Он уточнил. что подготовка ведется на территории ряда стран. В качестве живой силы используются наемники, добавил Патрушев.В той же беседе секретарь Совбеза указал, что Североатлантический альянс не гнушается использовать в своих интересах террористические организации. По его словам, государства НАТО привлекаются к подрыву и дезорганизации системы госуправления стран, которые не согласны с политикой англосаксов.	Россия	00:37, 2 апреля 2024
41	В Совбезе прокомментировали заявления о готовности НАТО к конфликту с Россией	Слова главы военного комитета НАТО Роба Бауэра о готовности к войне с Россий — в духе политики альянса. Такую точку зрения в интервью aif.ru высказал секретарь Совбеза России Николай Патрушев.«Это заявление идет в русле всей натовской политики», — сказал он, добавив, что альянс «вышел за пределы географического мандата и открыто заявил о глобальных амбициях».В этом же интервью Патрушев рассказал, что НАТО использует террористов в своих целях.В конце марта Бауэер заявил о готовности альянса к конфликту с Москвой, однако в настоящее время у НАТО нет доказательств, что Россия готовится к нападению.	Россия	00:40, 2 апреля 2024
42	Советник Зеленского назвал причину назначения Залужного и Данилова послами	Решения о назначении бывшего главкома Вооруженных сил Украины (ВСУ) Валерия Залужного и экс-секретаря Совета национальной безопасности и обороны (СНБО) Алексея Данилова послами были приняты во избежание спекуляций вокруг их дальнейшей деятельности. Об этом заявил советник главы офиса президента Украины Михаил Подоляк, передает ТАСС.Он отметил, что они оба занимали «большие должности». «Чтобы убрать эту лишнюю спекулятивность. Со странами предварительно обсуждалось, что они идут в этом направлении», — объяснил Подоляк.Говоря о получении агремана (предварительное согласие на прием посла — прим. «Ленты.ру»), он указал, что «юридические процедуры займут определенное время». Однако, по его словам, уже состоялись предварительные консультации.7 марта стало известно о назначении Залужного послом в Великобритании. Данилова отправили в отставку 26 марта, позднее президент Украины Владимир Зеленский сообщил, что тот был назначен послом страны в Молдавии.	Бывший СССР	00:41, 2 апреля 2024
43	Патрушев назвал цель антироссийской политики США	Секретарь Совета безопасности России Николай Патрушев заявил в интервью aif.ru, что Соединенные Штаты Америки и Великобритания проводят антироссийскую политику с целью стимуляции оборонных расходов государств НАТО. После этого, считает он, Вашингтон и Лондон смогут сильнее привязать к себе западные страны экономическими обязательствами.«США наживаются за счет увеличения мощностей военно-промышленного комплекса, диктуя союзникам условия приобретения вполне конкретных видов вооружения», — высказался Патрушев.Ранее Патрушев рассказал, что США собираются использовать Украину в качестве подконтрольной им антироссийской территории. Он указал, что по этой причине необходима демилитаризация республики.	Россия	00:47, 2 апреля 2024
44	Популярная 58-летняя актриса показала фигуру в бикини и восхитила фанатов	Популярная британская актриса, дизайнер и модель Элизабет Херли показала фигуру в купальнике и восхитила фанатов. Соответствующий пост появился в ее Instagram-аккаунте (соцсеть запрещена в РФ; принадлежит корпорации Meta, которая признана в России экстремистской и запрещена).58-летняя знаменитость позировала перед камерой в леопардовом бикини, которое подчеркивало ее стройную фигуру. Комплект включал в себя топ с треугольными чашками, соединенными золотистой цепочкой, и трусы с заниженной талией. Звезда распустила уложенные волнами волосы, накрасила губы розовым блеском и надела массивные солнцезащитные очки в серебристой пластиковой оправе.Фото: @elizabethhurley1Подписчики оценили кадр в комментариях. «Уверен, ты нашла источник вечной молодости!», «Великолепная», «Прекрасный ангел», «Невероятная», «Абсолютная красота», — выразили свое мнение юзеры.В марте мексикано-американская актриса, режиссер и продюсер Сальма Хайек снялась в купальнике на отдыхе и также восхитила поклонников.	Ценности	01:00, 2 апреля 2024
45	В России заявили о планах Киева жестко решить вопрос со «строптивыми» регионами	Украина с подачи США и НАТО после февраля 2014 года хотела крайне жестко силовым путем решить вопрос «строптивых» регионов. Об этом заявил секретарь Совбеза РФ Николай Патрушев в интервью aif.ru.По его словам, существуют неопровержимые данные, подтверждающие планы Киева. «Усиленная милитаризация Украины началась после совершенного Западом госпереворота в Киеве в феврале 2014 года и устроенного укронацистами геноцида русскоязычного населения», — заявил Патрушев.Он также добавил, что Североатлантический альянс фактически является стороной украинского конфликта и «активно участвует в организации обстрелов украинскими неонацистами российских территорий».Патрушев также сообщил, что инструкторы НАТО готовят диверсантов для участия в операциях против России.	Россия	01:03, 2 апреля 2024
46	В Европарламенте оценили траты Германии на содержание украинских беженцев	Германия ежегодно тратит как минимум 20 миллиардов евро на содержание украинских беженцев. Такие данные озвучил депутат Европарламента (ЕП) от ФРГ Гуннар Бек, передают «Известия».При этом он не исключил, что сумма расходов может быть и больше. По словам политика, Германия не может себе позволить такие траты, поэтому ей приходится вкладывать меньше средств в социальный сектор, образование и технологическое развитие.С ним согласился депутат бундестага Вольфганг Виле. «Конечно, если бы у Германии не было такой нагрузки, она могла бы себе позволить больше расходов на другие вещи», — отметил он, выразив надежду, что в будущем траты на беженцев снизятся.Ранее член бундестага ФРГ от правой партии «Альтернатива для Германии» (АдГ) Михаэль Кауфманн поднял вопрос о масштабах злоупотребления социальными пособиями украинскими беженцами.	Мир	01:16, 2 апреля 2024
47	ChatGPT открыли для всех желающих	Компания OpenAI с 1 апреля сделала чат-бот ChatGPT доступным для всех пользователей без необходимости регистрации. Об этом разработчик сообщил на своем сайте.При этом учетная запись позволит сохранять и просматривать историю чатов, делиться ими, а также общаться с чат-ботом голосовыми сообщениями. Одновременно с этим в ChatGPT расширится список запрещенных запросов.OpenAI объяснила, что открытие доступа позволит широкой аудитории испытать преимущества нейросети.Ранее сообщалось, что OpenAI и Microsoft выпустят суперкомпьютер с поддержкой искусственного интеллекта. Корпорации запланировали создание центра обработки данных с бюджетом в 100 миллиардов долларов.В феврале в OpenAI заявили, что хакерские атаки улучшились с помощью ИИ. По словам аналитиков, ИИ начали активно пользоваться группы хакеров из России, Северной Кореи, Ирана и Китая.	Интернет и СМИ	01:18, 2 апреля 2024
48	Украинское СМИ порассуждало о реалистичности требований Киева к Москве	Украинское издание «Страна» опубликовало материал, в котором рассуждает о том, насколько реалистичны требования Киева к России по поводу завершения конфликта.В статье указывается, что Россия точно не пойдет на возвращение к границам 1991 года, так как владеет инициативой на фронте. Поэтому украинской стороне следовало бы предложить Москве «корейский» вариант — заморозку конфликта в его нынешнем виде.Украинское СМИ делает предположение, что Россия откажется от «корейского» варианта, но это поставит ее в затруднительное положение, так как покажет, что так как Москву можно будет обвинить в нежелании достичь мира. Это в свою очередь может привести к тому, что давление на Россию со стороны Запада усилится. «Но очевидно, что принуждение Москвы к миру на условиях остановки войны по линии фронта многократно более реалистичная задача, чем принуждение к миру на условиях выхода на границы 1991 года или даже 2022-го», — указано в статье.В конце марта украинский президент Владимир Зеленский впервые допустил, что переговоры с Москвой могут начаться без варианта возвращения к границам 1991 года — одного из ключевых требований украинской стороны.В Кремле, комментируя эти слова Зеленского, заявили, что Киеву в любом случае придется учитывать новую геополитическую реальность в возможных переговорах с Россией. «Геополитическая реальность с момента начала СВО кардинально поменялась, изменились границы и Украины, и Российской Федерации. У нас появилось четыре новых субъекта, и это нельзя не учитывать, это новая реальность, с которой, безусловно, всем придется считаться», — сказал официальный представитель Кремля Дмитрий Песков.	Интернет и СМИ	01:28, 2 апреля 2024
49	В Эстонии таксист отказался везти женщину со словами «не обслуживаю русских»	В столице Эстонии водитель такси отказался от поездки с пожилой женщиной, заявив, что он «не обслуживает русских». Об этом сообщает Delfi.Инцидент произошел, когда сын пассажирки захотел уточнить номер подъезда в приложении. Увидев в чате сообщение на русском языке, таксист отменил заказ, извинился и написал, что «не обслуживает русских».Компания, в которой работает мужчина, осудила поведение водителя и заявила, что не терпит дискриминацию в любой форме. Сотрудники компании провели с ним беседу и пригрозили блокировкой аккаунта в случае повторения подобных ситуаций.Ранее эксперт по туризму Майя Котляр рассказала, что туристку отказались обслуживать в дьюти-фри аэропорта в Италии из-за наличия российского паспорта. Она заявила, что в практике ее компании подобное в Италии происходит в первый раз.	Бывший СССР	01:33, 2 апреля 2024
50	В Липецкой области отменили воздушную опасность	"В Липецкой области отменена воздушная опасность, сообщил губернатор Игорь Артамонов. Соответствующий пост опубликован в его Telegram-канале.«Внимание! Отбой ""Воздушной опасности""», — говорится в сообщении.О введении в регионе режима воздушной опасности стало известно вечером в понедельник, 1 апреля. Сообщалось, что вблизи границы области были обнаружены беспилотники. По словам губернатора, все силы и средства на территории области были приведены в повышенную готовность."	Россия	01:42, 2 апреля 2024
51	Изменяющая любимому мужу на протяжении 14 лет женщина объяснила свое поведение	Женщина, на протяжении 14 лет изменяющая мужу, с которым она состоит в браке уже 20 лет, объяснила в письме изданию Daily Mail, почему обманывает его.По словам 44-летней женщины, всего у нее было восемь романов на стороне. Автор письма заявила, что отношения с любовниками наполняют ее страстью и помогают избежать рутины брака, так как они с мужем занимаются сексом только раз в неделю. При этом изменщица рада, что муж не узнал ни об одной интрижке, и не хочет уходить от него.Мысль о том, чтобы спать только с мужем, кажется ей угнетающей, а чтобы любовники не хотели серьезных отношений, она выбирает мужчин значительно моложе. «Я сплю с другими мужчинами исключительно ради восторга, который это привносит в обычную и вполне терпимую жизнь», — завила она, добавив, что с молодыми любовниками чувствует себя желанной.Автор письма отметила, что сейчас состоит в отношениях с коллегой. Их роман длится дольше обычного, так как женщине нравится заниматься с ним сексом. «Мне пришло в голову, что вскоре менопауза может остудить мое либидо. А это значит, что я естественным образом перейду к более честному образу жизни. Это было бы идеально», — поделилась мечтой женщина.Ранее психотерапевт и специалист по сексуальным расстройствам Памела Стивенсон Коннолли дала совет мужчине, который пожаловался на постоянные измены жены и ее нежелание прекращать вести себя подобным образом.	Забота о себе	01:59, 2 апреля 2024
52	Три школьника обвинили учительницу в домогательствах и испугались	В Индии три ученика 11 класса средней школы захотели избавиться от нелюбимой учительницы и ложно обвинили ее в сексуальных домогательствах. Об этом сообщает The Times of India.Инцидент произошел 21 марта в городе Ревари, штат Харьяна. Подростки подали на учительницу официальную жалобу в администрацию школы. Они заявили, что женщина «заставляла их смотреть порнографические фильмы и добивалась физической близости с ними».Руководство учебного заведения тут же перенаправило жалобу в полицию. После того как школьникам позвонил следователь, они тут же сознались в подлоге. «Они думали, что дело рассмотрит школьный комитет и уволит учительницу. Когда они узнали, что делом занимается полиция, то испугались», — рассказал детектив Паван Кумар.Выяснилось, что преподавательница раздражала школьников, так как заставляла их ходить на занятия по оказанию первой помощи, а также «была строгой и часто ругала их».В феврале 2023 года сообщалось, что в США бывшая учительница из штата Вирджиния выиграла дело против шерифа округа Лаудун и его заместителя, которые ложно обвинили ее в совращении 17-летнего школьника. Суд присяжных вынес вердикт в пользу Кимберли Винтерс после всего пяти дней разбирательств.	Из жизни	01:59, 2 апреля 2024
53	КНДР запустила баллистическую ракету	КНДР запустила баллистическую ракету в сторону Японского моря. Об этом сообщает агентство Yonhap со ссылкой на объединенный комитет начальников штабов Южной Кореи.Тип ракеты не уточняется. Это третий запуск Северной Кореей баллистических ракет в этом году.18 марта сообщалось, что КНДР запустила три баллистические ракеты в сторону Японского моря. Ракеты были запущены с интервалом в примерно 30 минут. Министерство обороны Японии уточнило, что они упали в воды за пределами исключительной экономической зоны Японии.	Мир	02:07, 2 апреля 2024
54	В США предупредили об угрозе войны из-за удара Израиля по консульству Ирана	Авиационный удар Израиля по консульству Ирана в Сирии может привести к обострению ситуации в регионе. Об угрозе полномасштабной войны предупредила журналистка американского телеканала CNN Тамара Киблави.Многие государства пытались избежать «тотального пожара» в регионе, указала она. При этом Киблави допустила, что действия израильской стороны могут стать «последней каплей» и привести к «эскалации военных действий» на Ближнем Востоке.Ранее Министерство иностранных дел (МИД) России выступило с осуждением удара Израиля по консульству Ирана в Сирии. Внешнеполитическое ведомство призвало остановить подобные агрессивные действия. Кроме того, В МИД также обратились к членам международного сообщества с просьбой дать правовую оценку произошедшему.	Мир	02:15, 2 апреля 2024
55	Разработчик российского софта «МойОфис» стал убыточным	По итогам 2023 года выручка компании «Новые облачные технологие» (НОТ) по сравнению с 2022 годом снизилась на 43,8 процента. Об этом пишет РБК.Прибыль российского разработчика программного обеспечения «МойОфис» составила около 1,9 миллиарда рублей, тогда как чистый убыток зафиксирован на отметке в 5,2 миллиарда.Представитель НОТ объяснил годовую убыточность общим снижением темпов импортозамещения офисного софта. Кроме того, в компании указали на продолжающуюся конкуренцию с западными корпорациями, несмотря на их уход из России. В частности, корпорация Microsoft оставила российским клиентам возможность продолжать пользоваться своей продукцией и даже приобретать лицензии.Еще одним фактором НОТ назвала особенности российского рынка, когда заказчики покупают лицензии сразу на несколько лет, отказываясь от ежегодных платежей.	Экономика	02:17, 2 апреля 2024
56	Мексиканский режиссер получил гражданство России	Мексиканский режиссер Серхио Ольховичу получил гражданство России. Об этом сообщило посольство РФ в Мексике в Telegram.Кинематографисту вручили российский паспорт во время торжественной церемонии, прошедшей в здании посольства в понедельник, 1 апреля. «Россия всегда с радостью относится к тем, кто выбирает страну для своего творчества по зову души и сердца», — заявил посол РФ в Мексике Николай Софинский.Ранее стало известно, что американский писатель Брэндон Тейлор получил гражданство России. Мужчина получил вид на жительство три года назад, все это время он жил в Магниторске вместе с женой Ольгой, с которой познакомился в интернете в 2014 году.	Культура	02:23, 2 апреля 2024
57	Число пострадавших при обстреле Белгородской области увеличилось	Число пострадавших при обстреле Белгородской области увеличилось до 10, сообщил в своем Telegram-канале губернатор региона Вячеслав Гладков.Троих из них отпустили по домам на амбулаторное лечение. Еще семь пострадавших остаются в медучреждениях с осколочными ранениями разных частей тела. «Вся необходимая медицинская помощь оказывается», — написал Гладков.Днем 1 апреля губернатор сообщал о том, что пострадали девять человек. Обстрел Белгорода и Белгородского района велся из реактивной системы залпового огня (РСЗО) Vampire.	Россия	02:33, 2 апреля 2024
58	На Украине сообщили о дронах ВСУ с дальностью полета более тысячи километров	У Вооруженных сил Украины (ВСУ) имеются дроны, которые могут преодолеть расстояние свыше тысячи километров. Об этом немецкой газете Die Welt рассказал министр цифровой трансформации Украины Михаил Федоров.При этом, отметил Федоров, дальность полета большинства украинских беспилотников дальнего действия составляет от 700 до 1000 километров, именно с их помощью ВСУ атаковали российские нефтеперерабатывающие заводы.Также чиновник высказал мнение, что теперь исход конфликтов зависит от развития беспилотных технологий. В связи с этим Украина десятикратно увеличила производство дальнобойных дронов, резюмировал министр.Ранее специалистам Центра комплексных беспилотных решений в России удалось отследить, где создавали украинские дроны «Баба-яга». Также стало известно, где применялся трофейный беспилотник.	Бывший СССР	02:58, 2 апреля 2024
59	Военный сообщил об укреплении Россией левого берега Днепра	Вооруженные силы России ведут активное укрепление левого берега Днепра, чтобы не дать Вооруженным силам Украины (ВСУ) захватить берег. Об этом сообщил военный эксперт, старший лейтенант Народной милиции Донецкой народной республики (ДНР) в отставке Александр Матюшин в разговоре с Ura.ru.Он отметил, что река является естественной водной преградой для украинских войск. В то же время Матюшин указал, что ВСУ всегда пытается переправить подкрепления и диверсионные части на левый берег Днепра. «Сейчас установилась теплая погода, которая этому будет только способствовать. Поэтому в целях недопущения захвата, а потом укрепления и расширения противником какого-либо плацдарма на нашем берегу, мы проводим фортификационные работы», — сказал он.Ранее губернатор Херсонской области Владимир Сальдо сообщил, что ВСУ фактически прекратили попытки форсировать Днепр. По его словам, незначительное количество бойцов остается на левом берегу, а ВСУ лишь периодически доставляют им продовольствие и боеприпасы тяжелыми дронами.	Бывший СССР	03:02, 2 апреля 2024
60	На венгерской конференции Байдена объявили персоной нон грата	Венгерский центр основных прав, который организует конференцию консервативных политических действий (CPAC), объявил главу США Джо Байдена персоной нон грата. Соответствующий пост размещен на странице организаторов в Facebook (запрещенная в России соцсеть; принадлежит корпорации Meta, которая признана в РФ экстремистской и запрещена).Они опубликовали фотографию американского лидера, подписав ее: «Персона нон грата». В посте указывается, что главное требование к гостям — не заблудиться на сцене. «Джо [Байден] не был готов выполнить минимальные условия», — сыронизировали организаторы.Конференция пройдет в Будапеште в апреле.Президенту США несколько раз не удавалось найти выход со сцены. Подобный случай произошел во время его выступления в Бостоне в 2022 году. Договорив, Байден положил микрофон и начал растерянно оглядываться по сторонам, пытаясь понять, куда ему идти. Не сумев разобраться, он попросил помощи у ассистентов, после чего покинул сцену в их сопровождении.	Мир	03:05, 2 апреля 2024
61	Раскрыта дата визита главы Минфина США в Китай	Министр финансов США Джанет Йеллен 3-9 апреля посетит Китай. Дата визита главы ведомства в КНР раскрыта в заявлении, опубликованном на сайте министерства.Йеллен планирует встретиться с вице-премьером и премьер-министром Китая. Предстоящий визит министра будет основываться на принципах «ответственного управления двухсторонними отношениями в экономике и продвижением американских интересов», говорится в сообщении.Отмечается, что Йеллен планируется потребовать от китайских властей справедливого обращения в отношении американских работников и предприятий.Ранее официальный представитель министерства обороны Китая У Цянь заявил, что США занимаются крайне опасной практикой по созданию врагов на пустом месте. У Цянь прокомментировал решение Министерства обороны США о списании оружия со складов для передачи Тайваню. Он отметил, что Вашингтон неоднократно использовал Китай в качестве предлога для увеличения военного бюджета.	Мир	00:03, 3 апреля 2024
62	Пострадавшие при теракте попросили возбудить дело против владельцев «Крокуса». Какие у них претензии к Агаларовым?	Пострадавшие в результате теракта в «Крокус Сити Холле» подали в Следственный комитет (СК) России заявление. Они попросили возбудить уголовное дело об оказании небезопасных услуг против владельцев концертного зала. Об этом сообщил адвокат Игорь Трунов.Заявление подано на имя председателя СК Александра Бастрыкина во вторник, 2 апреля. Документ подписали 11 потерпевших, в том числе руководитель съемочной группы, которая должна была снимать концерт группы «Пикник», Иван Поморин и родственники жертв теракта.В заявлении говорится, что «Крокус» был спроектирован в конце 1990-х годов, а построен в 2009 году. С тех пор сильно изменились требования к безопасности — современные системы включают в себя лазерные датчики, автоматическое пожаротушение, огнеупорные материалы в отделке.Однако, как считает Трунов, владельцы здания не вкладывались в обеспечение безопасности, вследствие чего они несут прямую ответственность за тяжкие последствия.Фото: Мария Григорьева / «Лента.ру»По мнению юристов, владельцам «Крокус Сити Холла» может грозить до десяти лет лишения свободы.Как пояснил гендиректор юридической компании «Партнер» Константин Горин, уголовное преследование возможно в отношении владельцев в случае, если повлекшее гибель людей возгорание концертного зала произошло в том числе в результате невыполнения требований пожарной безопасности.Член Ассоциации юристов России Антон Бибаров-Государев уточнил, что речь идет о статье 238 Уголовного кодекса РФ («Производство, хранение, перевозка либо сбыт товаров и продукции, выполнение работ или оказание услуг, не отвечающих требованиям безопасности»).Ранее сын владельца «Крокуса» Эмин Агаларов объяснил, что люди в попытке спастись от террористов в концертном зале натыкались на закрытые двери, которые были предназначены не для эвакуации, а для персонала. Он подчеркнул, что эвакуационные выходы работали в штатном режиме.В зале однозначно сработало дымоудаление. Мы видим на кадрах, когда уже случился поджог, зал не в тумане, то есть сохранилась видимость. У нас на крыше стоит огромный агрегатАраз АгаларовФото: Вячеслав Прокофьев / ТАССПо его словам, решения о дальнейшей судьбе «Крокус Сити Холла» пока нет. Как считает Агаларов, в этом вопросе нужно ориентироваться на мнение президента Владимира Путина, губернатора Московской области и общественности. Подсчитано, что восстановление концертного зала после теракта будет стоить примерно четыре-семь миллиардов рублей, не считая оборудования.22 марта группа вооруженных мужчин напала на посетителей «Крокус Сити Холла», позже в здании прогремели взрывы и начался пожар. 24 марта в России  было объявлено днем общенационального траура. Четверо подозреваемых в совершении теракта задержаны — их арестовали до 22 мая.	Силовые структуры	00:09, 3 апреля 2024
